,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2017/1/3,3,3,3,3,3,0.000470681,0.003184719,0.002370994,0.004433289,0.002164469,0.009712756,0.009120909,-0.007548287,-0.00695644,-0.00695644,1.000470681,1.003184719,1.002370994,1.004433289,1.002164469
2017/1/4,3,3,3,3,3,0.005567295,0.005499738,0.00322825,0.023563617,0.008371711,0.007803173,0.011693214,0.000568538,-0.003321503,-0.003321503,1.006040597,1.008701972,1.005606899,1.028101371,1.010554301
2017/1/5,3,3,3,3,3,0.001901225,0.001987917,-0.001601135,-0.00445441,-0.000347002,-0.00015438,0.000720913,-0.000192622,-0.001067915,-0.001067915,1.007953306,1.010707188,1.003996786,1.023521785,1.010203637
2017/1/6,3,3,3,3,3,-0.001682225,-0.001140761,0.000313035,-0.004792404,-0.000977364,-0.005974244,-0.004322361,0.00499688,0.003344997,0.003344997,1.006257701,1.009554213,1.004311073,1.018616655,1.0092163
2017/1/9,3,3,3,3,3,0.002045851,0.000550511,0.008253983,0.001367413,0.0115438,0.004848148,0.006874233,0.006695652,0.004669567,0.004669567,1.008316354,1.010109983,1.01260064,1.020009525,1.020866491
2017/1/10,3,3,3,3,3,-0.001459556,-0.00178234,-0.004389273,-0.003407717,-0.002259366,-0.001673653,-0.003349742,-0.000585713,0.001090376,0.001090376,1.00684466,1.008309624,1.008156059,1.016533621,1.018559981
2017/1/11,3,3,3,3,3,-0.002552867,-0.001448601,-0.0065916,-0.005702608,-0.003101896,-0.007078049,-0.009692005,0.003976153,0.006590109,0.006590109,1.00427432,1.006848986,1.001510697,1.010736729,1.015400514
2017/1/12,3,3,3,3,3,-0.002938589,0.000124202,-0.001616408,-0.000780408,-0.002474503,-0.005062228,-0.009335182,0.002587725,0.006860679,0.006860679,1.00132317,1.006974039,0.999891847,1.009947942,1.012887902
2017/1/13,3,3,3,3,3,-0.000721373,-2.72E-05,-0.009117249,-0.006910901,-0.007416505,0.000690254,-0.012464829,-0.008106759,0.005048324,0.005048324,1.000600843,1.006946651,0.990775584,1.002968292,1.005375814
2017/1/16,3,3,3,3,3,-0.005823464,-0.004942931,-0.013115922,-0.009244402,-0.022073855,-0.000138558,-0.026380786,-0.021935297,0.004306931,0.004306931,0.99477388,1.001969382,0.977780649,0.99369645,0.983183294
2017/1/17,3,3,3,3,3,-0.000459811,3.23E-05,-0.002923531,0.005318706,0.00832046,0.00208167,0.008427786,0.00623879,-0.000107326,-0.000107326,0.994316472,1.002001711,0.974922077,0.998981629,0.991363832
2017/1/18,3,3,3,3,3,-0.002559864,-0.001032194,-0.007828835,-0.007526552,0.000574648,0.003911182,-0.002216351,-0.003336534,0.002790999,0.002790999,0.991771157,1.000967451,0.967289573,0.991462742,0.991933517
2017/1/19,3,3,3,3,3,-0.001323105,-0.000185461,0.001853202,-0.001793925,-0.009264889,-0.003018533,-0.004104743,-0.006246355,-0.005160146,-0.005160146,0.99045894,1.000781811,0.969082156,0.989684132,0.982743363
2017/1/20,3,3,3,3,3,0.005726429,0.004412475,0.005496776,0.005418248,0.007947683,0.007689327,0.012958992,0.000258356,-0.005011308,-0.005011308,0.996130732,1.005197736,0.974408983,0.995046486,0.990553897
2017/1/23,3,3,3,3,3,0.00061102,-0.002330071,2.58E-05,0.000714267,0.004993088,0.002739285,0.008195034,0.002253803,-0.003201946,-0.003201946,0.996739388,1.002855554,0.974434125,0.995757215,0.99549982
2017/1/24,3,3,3,3,3,-0.004296369,-0.001945392,-0.001198104,0.002644161,-0.007562705,0.000109985,-0.001119541,-0.007672691,-0.006443164,-0.006443164,0.992457027,1.000904607,0.973266652,0.998390157,0.987971148
2017/1/25,3,3,3,3,3,0.000378863,0.001711424,-0.000588668,0.001472581,0.002649152,0.003403231,0.00232107,-0.000754079,0.000328082,0.000328082,0.992833032,1.002617579,0.972693721,0.999860368,0.990588434
2017/1/26,3,3,3,3,3,0.002825518,0.00369247,0.000435954,0.00076996,0.004176115,0.003572381,0.007142892,0.000603734,-0.002966777,-0.002966777,0.9956383,1.006319715,0.973117771,1.00063022,0.994725245
2017/2/3,3,3,3,3,3,-0.002357433,-0.00476161,-0.008532004,-0.002162938,-0.01188482,-0.006927473,-0.002670433,-0.004957347,-0.009214387,-0.009214387,0.993291149,1.001528013,0.964815126,0.998465919,0.982903115
2017/2/6,3,3,3,3,3,0.00383936,0.002159866,0.00031842,-0.001575254,-0.002775809,0.002591775,0.008403294,-0.005367584,-0.011179103,-0.011179103,0.997104751,1.00369118,0.965122343,0.996893082,0.980174763
2017/2/7,3,3,3,3,3,-0.003390367,-0.002141629,-5.87E-05,0.002499396,0.000338107,-0.002232295,-0.000530415,0.002570403,0.000868522,0.000868522,0.9937242,1.001541646,0.965065684,0.999384712,0.980506167
2017/2/8,3,3,3,3,3,0.001198415,0.000886258,0.000384241,0.000186358,0.002497144,0.005232226,0.00570179,-0.002735082,-0.003204646,-0.003204646,0.994915094,1.00242927,0.965436502,0.999570955,0.982954632
2017/2/9,3,3,3,3,3,-0.000755693,0.003168494,0.004195957,0.002433891,0.006117522,0.003842414,0.006290928,0.002275108,-0.000173405,-0.000173405,0.994163244,1.005605461,0.969487432,1.002003803,0.988967879
2017/2/10,3,3,3,3,3,0.001539411,0.004820846,0.000499584,0.007552962,0.006933118,0.00506435,0.000936634,0.001868768,0.005996484,0.005996484,0.99569367,1.010453331,0.969971773,1.009571899,0.99582451
2017/2/13,3,3,3,3,3,-0.000221185,0.002260362,0.004722921,-0.001161793,0.001526869,0.006676451,0.005134833,-0.005149582,-0.003607963,-0.003607963,0.995473437,1.01273732,0.974552873,1.008398986,0.997345004
2017/2/14,3,3,3,3,3,0.001020401,0.000174869,0.002457157,-0.00131165,-0.00127997,-0.000139686,0.000822651,-0.001140284,-0.002102621,-0.002102621,0.99648922,1.012914417,0.976947502,1.007076319,0.996068432
2017/2/15,3,3,3,3,3,0.002636834,-0.003738006,-0.002930594,-0.00239894,-0.003068772,-0.004100937,-0.009912328,0.001032165,0.006843556,0.006843556,0.999116796,1.009128138,0.974084466,1.004660403,0.993011725
2017/2/16,3,3,3,3,3,-0.000619312,-0.001109985,-2.96E-05,-0.002474315,-0.003120355,0.005617075,0.007547887,-0.008737429,-0.010668242,-0.010668242,0.998498031,1.00800802,0.974055681,1.002174556,0.989913176
2017/2/17,3,3,3,3,3,-0.000507977,-0.002966454,-0.003494856,-0.006258047,-0.004339031,-0.005664166,-0.008205254,0.001325136,0.003866223,0.003866223,0.997990817,1.005017811,0.970651497,0.995902901,0.985617913
2017/2/20,3,3,3,3,3,0.001476047,0.005347711,0.004237611,0.003350076,0.006812102,0.014599116,0.012351042,-0.007787014,-0.00553894,-0.00553894,0.999463899,1.010392356,0.97476474,0.999239252,0.992332043
