,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2017/1/3,2,4,4,3,3,-0.001566743,0.002374098,0.002239541,0.004433289,0.002164469,0.009712756,0.009120909,-0.007548287,-0.00695644,-0.00695644,0.998433257,1.002374098,1.002239541,1.004433289,1.002164469
2017/1/4,2,4,4,3,3,0.004434794,0.005942858,0.002837781,0.023563617,0.008371711,0.007803173,0.011693214,0.000568538,-0.003321503,-0.003321503,1.002861103,1.008331065,1.005083677,1.028101371,1.010554301
2017/1/5,2,3,5,3,3,-0.001148163,0.002522495,0.000300154,-0.00445441,-0.000347002,-0.00015438,0.000720913,-0.000192622,-0.001067915,-0.001067915,1.001709655,1.010874575,1.005385358,1.023521785,1.010203637
2017/1/6,2,3,5,3,3,-9.38E-05,-0.00237663,3.12E-05,-0.004792404,-0.000977364,-0.005974244,-0.004322361,0.00499688,0.003344997,0.003344997,1.0016157,1.0084721,1.00541673,1.018616655,1.0092163
2017/1/9,2,3,5,3,3,-0.000552643,0.00111212,0.006119231,0.001367413,0.0115438,0.004848148,0.006874233,0.006695652,0.004669567,0.004669567,1.001062164,1.009593642,1.011569107,1.020009525,1.020866491
2017/1/10,2,3,5,3,3,-0.002350924,-0.002050645,-0.003291516,-0.003407717,-0.002259366,-0.001673653,-0.003349742,-0.000585713,0.001090376,0.001090376,0.998708743,1.007523323,1.008239511,1.016533621,1.018559981
2017/1/11,2,3,5,3,3,-0.00120431,-0.002280411,-0.004875658,-0.005702608,-0.003101896,-0.007078049,-0.009692005,0.003976153,0.006590109,0.006590109,0.997505988,1.005225756,1.00332368,1.010736729,1.015400514
2017/1/12,2,3,5,3,3,-0.001525455,-0.003087439,-0.000603353,-0.000780408,-0.002474503,-0.005062228,-0.009335182,0.002587725,0.006860679,0.006860679,0.995984338,1.002122183,1.002718322,1.009947942,1.012887902
2017/1/13,2,3,5,3,3,-0.000877894,-0.000310378,-0.005400669,-0.006910901,-0.007416505,0.000690254,-0.012464829,-0.008106759,0.005048324,0.005048324,0.995109969,1.001811147,0.997302972,1.002968292,1.005375814
2017/1/16,2,3,5,3,3,-0.005467223,-0.00285618,-0.011282701,-0.009244402,-0.022073855,-0.000138558,-0.026380786,-0.021935297,0.004306931,0.004306931,0.989669481,0.998949793,0.986050701,0.99369645,0.983183294
