,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2017/1/3,0,0,3,1,0,0,0,0.001210866,0,0,0.009712756,0.009120909,-0.009712756,-0.009120909,-0.009120909,1,1,1.001210866,1,1
2017/1/4,0,0,3,1,0,0,0,0.003534989,0,0,0.007803173,0.011693214,-0.007803173,-0.011693214,-0.011693214,1,1,1.004750135,1,1
2017/1/5,0,0,1,3,0,0,0,-9.21E-05,0.004768059,0,-0.00015438,0.000720913,0.00015438,-0.000720913,-0.000720913,1,1,1.004657608,1.004768059,1
2017/1/6,0,0,1,3,0,0,0,0.000368392,-0.001880724,0,-0.005974244,-0.004322361,0.005974244,0.004322361,0.004322361,1,1,1.005027716,1.002878367,1
2017/1/9,0,0,1,3,0,0,0,0.000276192,0.004359014,0,0.004848148,0.006874233,-0.004848148,-0.006874233,-0.006874233,1,1,1.005305297,1.007249929,1
2017/1/10,0,0,1,3,0,0,0,-0.004417855,-0.000988859,0,-0.001673653,-0.003349742,0.001673653,0.003349742,0.003349742,1,1,1.000864003,1.0062539,1
2017/1/11,0,0,1,3,0,0,0,-0.001848941,-0.003284491,0,-0.007078049,-0.009692005,0.007078049,0.009692005,0.009692005,1,1,0.999013464,1.002948869,1
2017/1/12,0,0,2,2,0,0,0,-0.000102571,-0.002882429,0,-0.005062228,-0.009335182,0.005062228,0.009335182,0.009335182,1,1,0.998910994,1.000057939,1
2017/1/13,0,0,2,2,0,0,0,0.000127797,-0.000204165,0,0.000690254,-0.012464829,-0.000690254,0.012464829,0.012464829,1,1,0.999038652,0.999853762,1
2017/1/16,0,0,2,2,0,0,0,-0.010667638,-0.003267974,0,-0.000138558,-0.026380786,0.000138558,0.026380786,0.026380786,1,1,0.98838127,0.996586267,1
2017/1/17,0,0,2,2,0,0,0,-0.000941405,0.001644737,0,0.00208167,0.008427786,-0.00208167,-0.008427786,-0.008427786,1,1,0.987450803,0.998225389,1
2017/1/18,0,0,2,2,0,0,0,-0.002953414,0.000409836,0,0.003911182,-0.002216351,-0.003911182,0.002216351,0.002216351,1,1,0.984534452,0.998634497,1
2017/1/19,0,0,2,2,0,0,0,0.000897931,-0.000851761,0,-0.003018533,-0.004104743,0.003018533,0.004104743,0.004104743,1,1,0.985418496,0.9977839,1
2017/1/20,0,0,2,2,0,0,0,0.003346535,0.002740131,0,0.007689327,0.012958992,-0.007689327,-0.012958992,-0.012958992,1,1,0.988716234,1.000517958,1
2017/1/23,0,0,2,2,0,0,0,-0.000405305,0.001387076,0,0.002739285,0.008195034,-0.002739285,-0.008195034,-0.008195034,1,1,0.988315502,1.001905752,1
2017/1/24,0,0,2,2,0,0,0,-0.001599239,-0.003539463,0,0.000109985,-0.001119541,-0.000109985,0.001119541,0.001119541,1,1,0.986734949,0.998359544,1
2017/1/25,0,0,2,2,0,0,0,0.001987483,0.003974433,0,0.003403231,0.00232107,-0.003403231,-0.00232107,-0.00232107,1,1,0.988696068,1.002327456,1
2017/1/26,0,0,2,2,0,0,0,0.00286005,0.001829268,0,0.003572381,0.007142892,-0.003572381,-0.007142892,-0.007142892,1,1,0.991523789,1.004160982,1
2017/2/3,0,0,2,2,0,0,0,-0.003496486,-0.004805474,0,-0.006927473,-0.002670433,0.006927473,0.002670433,0.002670433,1,1,0.98805694,0.999335512,1
2017/2/6,0,0,2,2,0,0,0,-0.000541119,0.004877771,0,0.002591775,0.008403294,-0.002591775,-0.008403294,-0.008403294,1,1,0.987522283,1.004210042,1
2017/2/7,0,0,2,2,0,0,0,-0.000714573,-0.003991935,0,-0.002232295,-0.000530415,0.002232295,0.000530415,0.000530415,1,1,0.986816627,1.0002013,1
2017/2/8,0,0,2,2,0,0,0,3.15E-05,0.003292415,0,0.005232226,0.00570179,-0.005232226,-0.00570179,-0.00570179,1,1,0.986847705,1.003494378,1
2017/2/9,0,0,2,1,4,0,0,0.000559536,0.002664772,0.001276718,0.003842414,0.006290928,-0.002565696,-0.00501421,-0.00501421,1,1,0.987399882,1.006168462,1.001276718
2017/2/10,0,0,2,1,4,0,0,0.001444479,0.002746279,0.003513011,0.00506435,0.000936634,-0.001551339,0.002576377,0.002576377,1,1,0.98882616,1.008931681,1.004794214
2017/2/13,0,0,2,1,4,0,0,0.00158331,0.002120329,0.002131244,0.006676451,0.005134833,-0.004545207,-0.003003589,-0.003003589,1,1,0.990391779,1.011070948,1.006935676
2017/2/14,0,0,2,1,4,0,0,-0.000742891,-0.00035264,0.00030803,-0.000139686,0.000822651,0.000447716,-0.000514621,-0.000514621,1,1,0.989656026,1.010714404,1.007245842
2017/2/15,0,0,2,1,4,0,0,0.000139729,-0.003086692,0.000824421,-0.004100937,-0.009912328,0.004925358,0.010736749,0.010736749,1,1,0.98979431,1.007594639,1.008076237
2017/2/16,0,0,3,1,4,0,0,-0.000737277,-0.007940289,-0.000153282,0.005617075,0.007547887,-0.005770356,-0.007701169,-0.007701169,1,1,0.989064557,0.999594047,1.007921717
2017/2/17,0,0,3,1,4,0,0,-0.002388215,-0.010485033,-0.002234808,-0.005664166,-0.008205254,0.003429358,0.005970446,0.005970446,1,1,0.986702459,0.98911327,1.005669205
2017/2/20,0,0,3,1,4,0,0,0.00032523,0.000889752,0.004978725,0.014599116,0.012351042,-0.009620391,-0.007372317,-0.007372317,1,1,0.987023364,0.989993336,1.010676156
2017/2/21,0,0,3,1,4,0,0,-0.000156572,0.004848877,0.000857115,0.003292629,0.007733678,-0.002435514,-0.006876563,-0.006876563,1,1,0.986868823,0.994793691,1.011542422
2017/2/22,0,0,3,1,4,0,0,-0.000495095,0,0.008632249,0.001992638,0.00618391,0.00663961,0.002448338,0.002448338,1,1,0.98638023,0.994793691,1.020274307
2017/2/23,0,0,2,2,5,0,0,-0.000131958,0.000895386,-0.003333448,-0.004710926,-3.71E-05,0.001377478,-0.003296377,-0.003296377,1,1,0.986250069,0.995684416,1.016873276
2017/2/24,0,0,2,2,5,0,0,0.002653908,0.001127126,-0.001623329,0.000152592,0.000336732,-0.00177592,-0.001960061,-0.001960061,1,1,0.988867487,0.996806678,1.015222557
2017/2/27,0,0,2,2,5,0,0,-0.000456399,-0.003417464,-0.003501586,-0.007953711,-0.00801554,0.004452125,0.004513954,0.004513954,1,1,0.988416169,0.993400127,1.011667667
2017/2/28,0,0,2,2,5,0,0,-0.002278165,0.000132031,0.001246633,0.00191224,0.004157677,-0.000665607,-0.002911044,-0.002911044,1,1,0.986164394,0.993531286,1.012928846
2017/3/1,0,0,2,2,5,0,0,-0.000746896,-0.003967571,-0.001369815,0.001630556,0.002584108,-0.003000371,-0.003953922,-0.003953922,1,1,0.985427832,0.98958938,1.011541321
2017/3/2,0,1,1,2,5,0,-0.001309023,-0.002700689,-0.001913666,-0.001589844,-0.006748708,-0.005103871,0.005158863,0.003514027,0.003514027,1,0.998690977,0.982766498,0.987695637,1.009933128
2017/3/3,0,1,1,2,5,0,0.000561745,0.000840415,-0.000791875,0.001778793,-0.002107653,0.00283,0.003886446,-0.001051206,-0.001051206,1,0.999251987,0.983592429,0.986913506,1.01172959
2017/3/6,0,1,1,2,5,0,-9.36E-05,0.00279903,-0.000208477,0.002986728,0.00543196,0.009992499,-0.002445232,-0.007005771,-0.007005771,1,0.999158485,0.986345534,0.986707756,1.014751352
2017/3/7,0,1,1,2,5,0,0.001778027,-0.000651284,0.0027449,0.005823753,0.00217033,0.000900677,0.003653423,0.004923076,0.004923076,1,1.000935016,0.985703143,0.989416171,1.020661013
2017/3/8,0,1,1,2,5,0,-0.003643157,-0.004468858,-0.001151688,-0.003151236,-0.001514204,-0.00400111,-0.001637032,0.000849874,0.000849874,1,0.997288453,0.981298176,0.988276672,1.01744467
2017/3/9,0,0,2,1,7,0,0,-0.000936375,-0.007050243,-0.003128558,-0.006318268,-0.008882438,0.00318971,0.00575388,0.00575388,1,0.997288453,0.980379313,0.981309081,1.014261535
2017/3/10,0,0,2,1,7,0,0,-0.001638117,-0.013058027,-0.001244227,0.000277215,0.001326215,-0.001521442,-0.002570441,-0.002570441,1,0.997288453,0.978773337,0.968495121,1.012999564
2017/3/13,0,0,2,1,7,0,0,-0.000798272,-0.005788473,0.002498784,0.008813002,0.009302225,-0.006314218,-0.006803441,-0.006803441,1,0.997288453,0.97799201,0.962889013,1.015530831
2017/3/14,0,0,2,1,7,0,0,-0.001693162,0.008899609,-0.002274984,-0.000407738,-0.002214232,-0.001867246,-6.08E-05,-6.08E-05,1,0.997288453,0.976336111,0.971458349,1.013220514
2017/3/15,0,0,2,1,7,0,0,-0.001557338,0.004946414,-0.001343671,0.002010594,-0.001144223,-0.003354265,-0.000199448,-0.000199448,1,0.997288453,0.974815625,0.976263584,1.01185908
2017/3/16,0,0,2,2,6,0,0,-0.002508995,-0.001955642,-0.000268341,0.005159312,0.008831247,-0.005427654,-0.009099589,-0.009099589,1,0.997288453,0.972369818,0.974354363,1.011587556
2017/3/17,0,0,2,2,6,0,0,-0.003191347,-0.006798667,-0.002139933,-0.010254171,-0.009183383,0.008114239,0.007043451,0.007043451,1,0.997288453,0.969266649,0.967730052,1.009422827
