,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2017/1/3,0,6,4,4,2,0,0.000598064,0.001861739,0.007325766,-0.002612031,0.009712756,0.009120909,-0.012324787,-0.01173294,-0.01173294,1,1.000598064,1.001861739,1.007325766,0.997387969
2017/1/4,0,6,4,4,2,0,0.005313372,0.004528893,0.019208973,0.006483217,0.007803173,0.011693214,-0.001319957,-0.005209997,-0.005209997,1,1.005914614,1.006399063,1.02667546,1.003854251
2017/1/5,0,5,5,4,2,0,-0.000282449,0.001706103,-0.00328736,-0.00080057,-0.00015438,0.000720913,-0.00064619,-0.001521483,-0.001521483,1,1.005630495,1.008116084,1.023300409,1.003050596
2017/1/6,0,5,5,4,2,0,-0.000754652,-0.000851629,-0.003736702,-0.000746276,-0.005974244,-0.004322361,0.005227968,0.003576085,0.003576085,1,1.004871594,1.007257543,1.01947664,1.002302043
2017/1/9,0,5,5,4,2,0,-0.002055631,0.007422392,0.01057293,0.001217671,0.004848148,0.006874233,-0.003630478,-0.005656562,-0.005656562,1,1.002805948,1.014733804,1.030255496,1.003522517
2017/1/10,0,5,5,4,2,0,-0.003523666,-0.002422141,-0.003173436,-0.000944914,-0.001673653,-0.003349742,0.000728738,0.002404827,0.002404827,1,0.999272395,1.012275975,1.026986046,1.002574274
2017/1/11,0,5,5,4,2,0,-0.002522888,-0.005196369,-0.003873128,-0.002976431,-0.007078049,-0.009692005,0.004101618,0.006715574,0.006715574,1,0.996751343,1.007015815,1.023008397,0.999590181
2017/1/12,0,6,4,4,2,0,-0.001608985,-0.000606092,-0.001359115,-0.00378999,-0.005062228,-0.009335182,0.001272239,0.005545193,0.005545193,1,0.995147585,1.006405471,1.021618011,0.995801745
2017/1/13,0,6,4,4,2,0,-0.003773907,-0.001720031,-0.007962649,-0.005649163,0.000690254,-0.012464829,-0.006339417,0.006815665,0.006815665,1,0.991391991,1.004674422,1.013483225,0.990176298
2017/1/16,0,6,4,4,2,0,-0.007663725,-0.00726045,-0.011110831,-0.025201892,-0.000138558,-0.026380786,-0.025063334,0.001178894,0.001178894,1,0.983794235,0.997380034,1.002222585,0.965221982
2017/1/17,0,6,4,4,2,0,-0.002242642,0.00082128,0.007075321,0.005248289,0.00208167,0.008427786,0.003166619,-0.003179497,-0.003179497,1,0.981587937,0.998199162,1.009313631,0.970287746
